index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
226709,320323,8,M,e,o,l,e,4
226710,39531,8,C,h,o,m,i,2
226711,46836,8,P,h,o,m,i,3
226712,46841,8,M,e,o,m,i,5
226713,41821,8,C,h,o,m,i,1
226714,43917,8,C,h,n,g,u,2
226715,64060,8,C,h,l,a,n,2
226716,101667,8,C,h,l,a,n,4
226717,306757,8,C,h,l,a,n,3
226718,41543,8,C,h,l,e,g,5
226719,136164,8,S,a,l,e,g,1
226720,40037,8,C,h,o,m,i,2
226721,47029,8,M,e,n,g,u,2
226722,141413,8,C,h,o,m,i,1
226723,203635,8,C,h,n,g,u,1
226724,355430,8,C,h,l,a,n,6
226725,512603,8,C,h,o,m,i,3
226726,231955,8,M,e,o,l,e,2
226727,58005,8,C,h,l,e,g,3
226728,325828,8,P,h,l,a,n,2
226729,231160,8,C,h,o,m,i,3
226730,231829,8,C,h,o,m,i,4
226731,307803,8,C,h,n,g,u,2
226732,364695,8,M,e,o,m,i,1
226733,416301,8,C,h,o,m,i,3
226734,496498,8,C,h,l,e,g,3
226735,46861,8,S,a,l,a,n,2
226736,71435,8,S,a,l,a,n,3
226737,231843,8,P,h,l,a,n,1
226738,448910,8,P,h,o,m,i,2
226739,222716,8,C,h,l,a,n,2
226740,230341,8,C,h,o,m,i,3
226741,238307,8,M,e,o,m,i,1
226742,425965,8,M,e,l,e,g,1
226743,531958,8,P,h,o,m,i,2
226744,226186,8,P,h,l,a,n,1
226745,238509,8,C,h,l,e,g,1
226746,238759,8,C,h,o,m,i,1
226747,364694,8,C,h,l,a,n,3
226748,366742,8,C,h,n,g,u,2
226749,92595,8,C,h,o,m,i,1
226750,138411,8,C,h,n,g,u,1
226751,151916,8,P,h,o,l,e,2
226752,207559,8,C,h,o,m,i,1
226753,231194,8,P,h,o,m,i,2
226754,231855,8,C,h,o,m,i,3
226755,231920,8,C,h,o,m,i,2
226756,231985,8,C,h,l,a,n,3
226757,237732,8,M,e,o,l,e,1
226758,287620,8,M,e,o,m,i,1
226759,325834,8,P,h,o,m,i,1
226760,424090,8,P,h,o,m,i,2
226761,238700,8,C,h,l,a,n,1
226762,238765,8,M,e,o,l,e,1
226763,335071,8,S,a,l,e,g,2
226764,335142,8,C,h,n,g,u,1
226765,420239,8,S,a,o,m,i,1
226766,424089,8,C,h,o,m,i,2
226767,426068,8,P,h,n,g,u,1
226768,448908,8,M,e,n,g,u,1
226769,56775,8,P,h,o,l,e,1
226770,222719,8,M,e,o,m,i,1
226771,225447,8,S,a,o,m,i,1
226772,230847,8,C,h,n,g,u,1
226773,231845,8,M,e,o,m,i,1
226774,231868,8,S,a,o,m,i,2
226775,258964,8,C,h,l,a,n,1
226776,283560,8,S,a,o,l,e,1
226777,469188,8,C,h,o,m,i,3
226778,603701,8,P,h,o,l,e,1
226779,627648,8,C,h,l,a,n,2
226780,635435,8,P,h,o,m,i,1
226781,57988,8,S,a,l,e,g,1
226782,223008,8,C,h,o,m,i,1
226783,230846,8,P,h,o,l,e,1
226784,231892,8,S,a,o,m,i,2
226785,232151,8,C,h,o,m,i,2
226786,334868,8,C,h,o,m,i,1
226787,335143,8,P,h,l,a,n,1
226788,416299,8,C,h,l,a,n,2
226789,479113,8,C,h,o,m,i,1
226790,519824,8,S,a,o,m,i,1
226791,568218,8,P,h,o,m,i,1
226792,702554,8,C,h,o,m,i,1
226793,757792,8,C,h,l,a,n,1
226794,205250,8,M,e,o,l,e,1
226795,205258,8,P,h,o,m,i,1
226796,205280,8,P,h,l,a,n,1
226797,232153,8,M,e,o,l,e,1
226798,232798,8,S,a,o,l,e,1
226799,400420,8,S,a,l,e,g,1
226800,400421,8,C,h,n,g,u,1
226801,410616,8,S,a,l,a,n,1
226802,532546,8,M,e,l,e,g,1
226803,532689,8,C,h,o,m,i,1
226804,563573,8,S,a,o,l,e,1
226805,979614,8,C,h,n,g,u,1
226806,24046,8,M,e,o,l,e,32
226807,21557,8,P,h,n,g,u,24
226808,37914,8,S,a,o,l,e,25
226809,32806,8,M,e,n,g,u,19
226810,32805,8,S,a,o,m,i,10
226811,32807,8,P,h,n,g,u,16
226812,21558,8,P,h,l,a,n,3
226813,21560,8,M,e,l,e,g,4
226814,31976,8,S,a,l,e,g,1
226815,39131,8,S,a,o,m,i,3
226816,39132,8,P,h,o,m,i,2
226817,159511,8,M,e,o,m,i,1
226818,71971,8,M,e,o,l,e,1
226819,71968,8,M,e,o,l,e,2
226820,21559,8,P,h,o,m,i,1
226821,71972,8,S,a,o,l,e,1
226822,41559,8,S,a,l,e,g,1
226823,120979,8,P,h,l,a,n,1
226824,484607,8,P,h,l,a,n,2
226825,71970,8,S,a,o,m,i,1
226826,202137,8,S,a,o,l,e,1
226827,178484,8,C,h,o,m,i,7
226828,340190,8,C,h,n,g,u,10
226829,425175,8,C,h,o,m,i,5
226830,338090,8,M,e,l,e,g,3
226831,351317,8,P,h,n,g,u,3
226832,137116,8,P,h,o,m,i,3
226833,143651,8,C,h,n,g,u,2
226834,246801,8,M,e,o,m,i,2
226835,195636,8,P,h,n,g,u,2
226836,259045,8,S,a,o,m,i,4
226837,190376,8,P,h,n,g,u,2
226838,287672,8,P,h,o,m,i,2
226839,405742,8,C,h,l,e,g,3
226840,426748,8,P,h,o,m,i,4
226841,166591,8,C,h,n,g,u,2
226842,461011,8,S,a,l,e,g,4
226843,102517,8,C,h,n,g,u,1
226844,163448,8,S,a,o,m,i,1
226845,276236,8,S,a,o,m,i,2
226846,453095,8,P,h,n,g,u,1
226847,124357,8,M,e,o,l,e,1
226848,162669,8,C,h,n,g,u,1
226849,283870,8,C,h,o,m,i,1
226850,422926,8,C,h,o,m,i,2
226851,344603,8,S,a,o,m,i,1
226852,351920,8,S,a,o,m,i,1
226853,410537,8,S,a,o,m,i,2
226854,160163,8,S,a,o,m,i,2
226855,296494,8,M,e,o,m,i,1
226856,372214,8,C,h,n,g,u,1
226857,384001,8,M,e,o,m,i,1
226858,217670,8,C,h,l,a,n,4
226859,287671,8,S,a,o,m,i,1
226860,366233,8,C,h,l,a,n,2
226861,444202,8,M,e,o,l,e,1
226862,446393,8,S,a,l,e,g,1
226863,294580,8,S,a,o,l,e,1
226864,399063,8,S,a,o,m,i,1
226865,444306,8,M,e,l,e,g,1
226866,465588,8,M,e,l,e,g,1
226867,142228,8,M,e,o,m,i,1
