id,classic_jungian,classic_jungian_total_voted
76136,IS(F),1
340126,EN(F),1
48587,ES(T),8
226343,IT(S),1
661067,IN(F),1
111932,IF(S),1
616694,IS(F),1
49203,ES(T),3
117329,ES(T),1
157731,EN(T),1
274772,IT(N),3
153078,EN(F),1
339206,EF(S),2
340046,ES(F),1
45072,IS(F),3
122058,IS(T),1
183053,IF(S),2
38878,IF(S),1
65359,IF(S),1
76156,EF(S),1
161688,ES(T),1
182934,IF(S),1
500948,EF(S),3
52640,IN(F),1
11080,IN(F),1
18062,EF(N),1
25004,IF(N),1
35559,ES(F),1
54254,EF(N),3
148242,IN(F),1
231386,IT(S),1
347006,IF(S),3
365689,IN(F),2
36920,ET(N),3
41229,ES(F),2
127744,IN(T),3
284546,EN(F),1
294481,ET(S),1
6608,EN(F),1
8824,IS(F),1
18053,IN(T),1
18054,EF(N),2
24554,IS(T),1
74148,IS(F),1
117812,IT(S),1
340114,ET(S),1
354899,IF(S),1
704456,EN(F),1
745985,ES(F),1
76143,IT(S),1
270643,ES(T),1
526145,IN(T),2
92669,IF(S),1
111690,ET(N),1
177719,ES(T),2
300236,IF(S),1
61154,IN(T),1
92971,IN(F),1
148419,ET(N),1
164936,ES(F),1
206668,EN(F),1
349021,ES(F),1
519621,IN(T),3
597497,ES(F),2
681345,IF(S),2
40258,EF(N),1
65357,IN(T),1
122888,EF(S),2
344943,EF(N),1
678525,IN(F),1
47459,IF(S),1
49178,IS(T),1
59944,IN(T),1
70748,IF(S),1
259850,IN(F),2
11092,IF(S),1
76137,EF(S),2
105362,IT(S),1
111649,IF(S),1
143236,ES(T),1
206655,IS(F),2
499191,IN(F),1
531933,ES(F),2
716481,IS(T),1
124295,EN(F),1
206654,IN(F),1
206692,EN(F),1
208438,EF(S),1
217712,IF(S),1
295314,ES(F),1
321379,ET(N),2
497325,ES(T),1
552781,EN(F),2
18047,EF(N),1
35556,IN(T),1
136338,IN(F),1
141277,IT(N),1
223261,IS(T),1
344338,IN(F),1
344372,IS(T),1
535649,ES(F),1
808596,EN(F),1
11088,ET(N),1
48441,IS(F),1
71438,ET(N),1
106878,IS(F),1
206672,EN(T),1
272322,IT(N),2
314527,IT(N),1
334019,ES(T),1
347008,EN(F),1
374657,ES(T),5
435122,ES(F),2
477284,IT(S),1
587921,IT(N),2
618741,IS(F),1
60905,IT(N),1
148414,EF(N),1
149455,ES(F),2
193560,IN(T),2
206593,IS(F),1
339467,ET(N),1
540760,IT(S),1
686544,EN(T),1
18049,EN(F),1
208441,ES(F),1
223255,ES(T),1
256083,IS(F),1
271816,IT(S),1
298206,EN(T),1
344329,IN(F),1
353511,EF(N),1
596673,EN(T),2
646079,IF(S),1
696875,IF(N),1
848998,IN(T),1
60901,IN(T),1
71685,IF(S),1
122887,IS(F),1
151582,EF(S),1
206670,ES(F),1
236924,IF(N),1
270565,EF(N),3
303015,IT(S),1
340127,IF(S),1
396378,IF(S),4
451210,IS(F),2
533028,ET(S),1
542746,ET(S),2
542819,EF(N),1
754687,ES(F),1
761187,IT(S),1
93261,IN(F),1
149456,EF(N),1
161677,ET(S),1
198187,EN(T),1
206635,IT(S),1
206671,EF(N),1
206705,EN(F),1
272833,ES(F),1
340111,IT(S),1
347210,EN(T),1
370638,IN(F),1
376879,IS(F),2
402976,ES(F),2
549914,ES(F),1
586274,IS(F),1
596671,EN(T),1
625048,EN(F),1
684557,IF(S),2
917880,ES(T),1
37710,IN(F),1
68814,IT(S),1
97191,EN(T),3
111704,EN(F),1
176321,EF(S),2
206679,IF(S),1
283716,IF(N),1
286323,IT(S),1
332566,EF(N),2
340112,EN(F),1
340115,IF(N),1
349476,IT(N),1
391338,ET(N),1
437065,EN(T),2
521662,IS(T),1
808067,IS(F),3
18058,ES(F),1
18059,IT(S),1
25002,ET(N),1
129090,IS(F),1
198125,IS(F),1
206664,EF(N),1
207623,IS(T),1
211280,IT(S),1
215861,IN(F),1
220224,IT(N),2
234031,EF(N),2
244032,IS(T),1
286322,ET(S),1
439311,IS(T),1
467913,IF(N),1
526760,IS(T),1
540382,IS(T),1
592691,IF(N),1
625058,IS(F),1
701804,IF(S),2
706289,IF(S),1
928534,EF(N),1
18060,IT(S),1
206673,ES(T),1
240947,EF(N),2
246452,IT(S),1
275678,IF(N),1
285943,IT(S),1
290637,IT(S),1
343956,IT(S),1
375499,IT(S),1
395826,ES(T),1
405209,IS(F),1
408311,IT(N),1
454874,IT(S),1
467911,IT(S),1
475151,EF(N),1
513418,ES(T),1
545449,ES(T),1
584523,IF(S),3
587920,EN(F),1
590712,EN(T),1
596672,EN(F),1
997083,IT(S),1
205309,EN(F),1
240029,ES(F),1
286570,IT(S),1
344393,IF(S),1
349473,ES(F),1
362804,ET(S),1
374121,IF(S),1
374961,IN(F),1
376877,IF(S),1
432890,IS(T),1
442174,IN(F),1
539978,ES(T),1
583513,IF(S),1
584518,IS(T),1
586497,IS(T),1
586562,IS(T),1
591826,IF(S),1
594268,IT(S),1
596804,ES(F),1
618717,EN(F),1
701314,EN(F),1
996027,EF(N),1
1015844,IS(T),1
1026046,IN(F),2
1026054,IS(T),1
1064159,IS(T),1
42,ET(S),7
5091,ES(T),2
6502,IF(S),1
77748,IT(S),1
2230,IS(T),1
9559,ES(F),1
65335,IN(T),1
192455,EF(S),1
9232,EF(N),1
21358,ES(T),1
84312,ES(F),4
88456,ES(T),1
203397,IS(F),2
226139,IS(T),1
199231,IS(T),1
203448,IF(S),1
236050,IS(F),1
602601,IS(T),1
386,IS(F),3
245661,IS(T),1
24944,IF(N),1
7101,ES(T),6
3153,EF(S),3
26086,IF(S),1
26094,EN(T),3
391,ES(F),5
37912,ES(F),3
8825,ET(S),2
202669,IS(F),1
392,ES(F),1
323420,EF(N),1
54911,IS(T),1
8826,ES(F),2
9889,ES(F),1
235886,IS(T),1
9890,IS(T),1
9887,EN(F),2
523203,IS(T),2
301983,EF(S),2
392970,ES(T),1
9884,ES(T),1
236419,IS(F),2
506522,IS(F),1
60813,ES(F),1
505933,ES(F),1
9882,IS(F),1
26084,ES(T),1
235871,EF(N),1
394468,EN(F),1
236091,IS(T),1
417642,IS(F),1
71214,IN(T),1
236099,IS(F),1
387,IT(S),2
65474,IS(T),3
128496,ES(F),1
152413,IS(T),1
223497,ES(F),1
446413,IF(N),1
